candidate_name,start of T90-F (UTC),T90-F,start of T90(UTC),T90,SNR
210701A,2021-07-01T19:34:57.841309,24.06,2021-07-01T19:35:10.129298,9.79,3.9
210702A,2021-07-02T00:23:44.208415,20.03,2021-07-02T00:23:51.120406,11.9,17.69
210702B,2021-07-02T13:40:13.633995,35.9,-,-,-
210703A,2021-07-03T00:22:14.944398,19.26,-,-,-
210703B,2021-07-03T01:21:26.414169,21.44,2021-07-03T01:21:35.182160,7.68,4.66
210703C,2021-07-03T02:53:57.376001,28.54,-,-,-
210703D,2021-07-03T03:14:50.528868,29.57,-,-,-
210703E,2021-07-03T04:48:31.556519,22.27,-,-,-
210703F,2021-07-03T06:29:43.865561,58.43,2021-07-03T06:29:50.777554,44.93,8.95
210703G,2021-07-03T06:38:56.937562,25.34,-,-,-
210703H,2021-07-03T08:36:49.824151,19.65,-,-,-
210703I,2021-07-03T13:31:50.032010,22.21,-,-,-
210703J,2021-07-03T14:34:26.736410,83.2,-,-,-
210704A,2021-07-04T04:48:17.502145,19.33,-,-,-
210704B,2021-07-04T07:49:48.500648,20.61,-,-,-
210704C,2021-07-04T08:42:18.416037,24.9,-,-,-
210706A,2021-07-06T07:13:19.188994,23.87,-,-,-
210706B,2021-07-06T18:20:02.033324,16.19,-,-,-
210706C,2021-07-06T21:48:30.000608,42.5,2021-07-06T21:48:39.792608,49.47,74.07
210707A,2021-07-07T01:53:52.437532,40.64,-,-,-
210707B,2021-07-07T07:17:20.001496,38.78,-,-,-
210707C,2021-07-07T10:57:55.613827,36.1,-,-,-
210707D,2021-07-07T11:19:32.784350,31.23,-,-,-
210707E,2021-07-07T17:25:49.569115,50.37,-,-,-
210707F,2021-07-07T22:24:57.500472,24.38,-,-,-
210708A,2021-07-08T07:01:54.064412,46.46,-,-,-
210708B,2021-07-08T16:54:31.360405,40.38,-,-,-
210709A,2021-07-09T03:15:41.258937,18.94,-,-,-
210709B,2021-07-09T09:01:24.945984,33.41,-,-,-
210709C,2021-07-09T12:36:42.912818,23.04,-,-,-
210709D,2021-07-09T16:57:20.351379,29.38,-,-,-
210710A,2021-07-10T02:50:45.816408,34.69,-,-,-
210710B,2021-07-10T03:25:02.401024,25.02,-,-,-
210710C,2021-07-10T07:30:52.392014,36.54,-,-,-
210710D,2021-07-10T23:41:57.677494,16.26,2021-07-10T23:42:06.829490,1.02,12.76
210711A,2021-07-11T03:08:21.840390,28.8,2021-07-11T03:08:30.736388,9.79,2.95
210711B,2021-07-11T08:07:40.256403,25.54,-,-,-
210711C,2021-07-11T14:57:47.231566,19.52,-,-,-
210712A,2021-07-12T23:49:38.736379,26.75,-,-,-
210713A,2021-07-13T06:04:38.064959,31.74,-,-,-
210713B,2021-07-13T09:40:32.256626,27.26,-,-,-
210713C,2021-07-13T13:41:24.480014,35.46,-,-,-
210713D,2021-07-13T19:22:53.313285,36.48,2021-07-13T19:23:16.353282,2.94,4.65
210713E,2021-07-13T23:06:35.490179,21.25,-,-,-
210715A,2021-07-15T00:28:18.305007,33.54,-,-,-
210715B,2021-07-15T07:27:07.120128,33.98,-,-,-
210715C,2021-07-15T22:20:20.044410,29.06,-,-,-
210716A,2021-07-16T00:07:32.448692,28.8,-,-,-
210716B,2021-07-16T00:32:20.352683,20.86,-,-,-
210716C,2021-07-16T04:32:13.040014,32.9,-,-,-
210716D,2021-07-16T18:44:44.275884,28.22,-,-,-
210716E,2021-07-16T19:29:19.906180,21.12,-,-,-
210717A,2021-07-17T04:19:35.120140,34.82,-,-,-
210717B,2021-07-17T04:56:59.999888,24.83,-,-,-
210717C,2021-07-17T18:33:19.034252,39.42,-,-,-
210717D,2021-07-17T23:26:39.279940,29.44,-,-,-
210717E,2021-07-17T23:46:54.655941,27.97,2021-07-17T23:47:04.831940,4.8,3.05
210718A,2021-07-18T02:16:39.776219,32.77,2021-07-18T02:16:52.000216,6.21,5.28
210718B,2021-07-18T09:09:38.128904,31.81,-,-,-
210718C,2021-07-18T09:57:30.160906,19.78,-,-,-
210718D,2021-07-18T20:23:24.816158,20.99,-,-,-
210719A,2021-07-19T06:05:32.272418,29.76,-,-,-
210719B,2021-07-19T12:41:04.504017,18.43,-,-,-
210720A,2021-07-20T02:58:04.383355,19.33,2021-07-20T02:58:13.983344,7.17,4.2
210720B,2021-07-20T03:12:46.833447,27.97,2021-07-20T03:12:52.017438,10.94,4.37
210720C,2021-07-20T03:33:10.081450,24.64,-,-,-
210720D,2021-07-20T06:24:06.928341,43.01,-,-,-
210720E,2021-07-20T11:07:18.625418,33.86,-,-,-
210720F,2021-07-20T12:16:34.017798,22.85,-,-,-
210720G,2021-07-20T13:19:10.001086,25.73,2021-07-20T13:19:28.305086,1.92,6.2
210720H,2021-07-20T16:08:40.300786,21.5,-,-,-
210720I,2021-07-20T18:01:02.032114,18.24,2021-07-20T18:01:08.496112,5.44,2.42
210720J,2021-07-20T18:34:21.360117,28.22,-,-,-
210720K,2021-07-20T18:52:32.016116,31.36,-,-,-
210720L,2021-07-20T19:50:17.819227,41.6,-,-,-
210721A,2021-07-21T01:16:56.224028,30.53,-,-,-
210721B,2021-07-21T02:34:06.832015,26.43,-,-,-
210721C,2021-07-21T19:18:01.166273,28.1,-,-,-
210721D,2021-07-21T21:49:04.433174,27.52,-,-,-
210721E,2021-07-21T23:05:35.216883,42.43,-,-,-
210722A,2021-07-22T19:04:04.157218,32.19,-,-,-
210722B,2021-07-22T19:05:41.933216,45.5,-,-,-
210722C,2021-07-22T19:13:27.533220,29.95,-,-,-
210723A,2021-07-23T00:25:58.593597,23.94,2021-07-23T00:26:06.529584,6.4,3.27
210723B,2021-07-23T00:32:00.001584,46.08,-,-,-
210723C,2021-07-23T06:13:53.504660,20.61,-,-,-
210723D,2021-07-23T09:24:40.000650,36.8,2021-07-23T09:24:59.200650,12.1,3.16
210723E,2021-07-23T15:28:41.180916,33.41,-,-,-
210723F,2021-07-23T17:07:56.555962,65.15,2021-07-23T17:08:14.987962,5.57,2.62
210723G,2021-07-23T18:56:59.999284,27.14,-,-,-
